repo_name,number_of_stars,descriptions,project_date,project_size,project_lang,last_updated,#_of_fork,#_open_issue,project_score,#_of_watcher,num_contributors,num_releases,Total Versions,Total Contributors,len_contributors_url,len_subscribers_url,len_git_commits_url,len_comments_url,len_issue_comment_url,len_downloads_url,len_issues_url,len_pulls_url,network_count,subscribers_count
grok-ai/nn-template,585,Generic template to bootstrap your PyTorch project.,2021-02-25T00:30:56Z,2808,Python,2023-10-23T05:12:54Z,56,1,1.0,585,2,2,8,8,61,60,66,66,73,58,64,63,56,13
vchaptsev/cookiecutter-django-vue,573,Cookiecutter Django Vue is a template for Django-Vue projects.,2017-10-22T17:19:04Z,435,Python,2023-10-20T11:20:28Z,103,10,1.0,573,2,2,4,9,75,74,80,80,87,72,78,77,103,19
rahul0x24/SwiftFrameworkTemplate,527,"A template for new Swift iOS / macOS / tvOS / watchOS Framework project ready with travis-ci, cocoapods, Carthage, SwiftPM and a Readme file ",2016-10-04T08:50:54Z,594,Ruby,2023-10-15T14:39:47Z,52,4,1.0,527,2,2,0,5,74,73,79,79,86,71,77,76,52,11
tiangolo/full-stack,519,"Full stack, modern web application generator. Using Flask, PostgreSQL DB, Docker, Swagger, automatic HTTPS and more.",2018-02-28T13:34:09Z,540,Python,2023-10-14T04:34:34Z,80,0,1.0,519,2,2,3,6,61,60,66,66,73,58,64,63,80,25
microsoft/cookiecutter-spacy-fastapi,459,Cookiecutter API for creating Custom Skills for Azure Search using Python and Docker,2019-04-22T22:43:52Z,59,Python,2023-10-17T15:16:34Z,63,5,1.0,459,2,2,0,3,78,77,83,83,90,75,81,80,63,13
pydanny/cookiecutter-djangopackage,433,A cookiecutter template for creating reusable Django packages quickly. ,2013-08-12T12:28:50Z,496,Python,2023-08-14T14:13:17Z,152,31,1.0,433,2,2,2,50,76,75,81,81,88,73,79,78,152,14
realpython/cookiecutter-flask-skeleton,430,Real Python Flask Starter Project,2015-01-21T16:28:25Z,135,Python,2023-10-03T05:16:06Z,136,2,1.0,430,2,2,12,10,80,79,85,85,92,77,83,82,136,26
tiangolo/full-stack-fastapi-couchbase,414,"Full stack, modern web application generator. Using FastAPI, Couchbase as database, Docker, automatic HTTPS and more.",2018-12-11T07:53:25Z,923,Python,2023-10-21T14:02:58Z,86,0,1.0,414,2,2,6,6,79,78,84,84,91,76,82,81,86,8
wemake-services/wemake-python-package,393,Bleeding edge cookiecutter template to create new python packages,2018-10-16T06:57:06Z,1231,Python,2023-10-15T09:01:28Z,47,11,1.0,393,2,2,0,14,79,78,84,84,91,76,82,81,48,7
gaganpreet/fastapi-starter,346,"A FastAPI based low code starter/boilerplate: SQLAlchemy 2.0 (async), Postgres, React-Admin, pytest and cypress",2021-08-19T20:59:42Z,2778,TypeScript,2023-10-21T18:58:37Z,36,20,1.0,346,2,2,0,8,68,67,73,73,80,65,71,70,36,3
arthurhenrique/cookiecutter-fastapi,341,"Cookiecutter template for FastAPI projects using: Machine Learning, Poetry, Github Actions and Pytests",2020-01-12T21:51:22Z,512,Python,2023-10-22T17:19:55Z,51,7,1.0,341,2,2,5,4,77,76,82,82,89,74,80,79,51,5
docker-science/cookiecutter-docker-science,333,Cookiecutter template for data scientists working with Docker containers,2017-12-18T09:32:59Z,126,Makefile,2023-09-03T14:21:13Z,83,14,1.0,333,2,2,0,7,84,83,89,89,96,81,87,86,83,11
MolSSI/cookiecutter-cms,325,Python-centric Cookiecutter for Molecular Computational Chemistry Packages,2018-03-15T14:52:43Z,337,Python,2023-10-18T13:51:06Z,86,27,1.0,325,2,2,1,17,65,64,70,70,77,62,68,67,86,23
general-mobile/kotlin-android-mvvm-starter,316,Android Kotlin Starter is a starter project which implements MVVM Pattern.,2018-06-20T13:11:49Z,288,Kotlin,2023-09-30T03:25:39Z,55,1,1.0,316,2,2,0,8,84,83,89,89,96,81,87,86,54,21
rafsaf/minimal-fastapi-postgres-template,307,minimal-fastapi-postgres-template based on official template but rewritten,2021-09-19T22:19:22Z,865,Python,2023-10-17T11:38:04Z,38,4,1.0,307,2,2,9,3,82,81,87,87,94,79,85,84,39,4
beeware/Python-iOS-template,302,A cookiecutter template for creating an iOS project running Python code.,2014-08-01T21:54:31Z,1783,,2023-10-18T00:57:19Z,36,6,1.0,302,2,2,0,5,69,68,74,74,81,66,72,71,36,32
aio-libs/create-aio-app,289,The boilerplate for aiohttp. Quick setup for your asynchronous web service.,2018-09-21T14:56:57Z,1368,Python,2023-10-16T17:40:23Z,84,40,1.0,289,2,2,9,28,65,64,70,70,77,62,68,67,85,9
bbugyi200/cookie,277,A Template-based File Generator. Like cookiecutter but works with file templates instead of project templates.,2018-11-07T20:41:27Z,13083,Shell,2023-10-04T00:09:29Z,9,16,1.0,277,2,2,3,1,58,57,63,63,70,55,61,60,9,7
grantmcconnaughey/cookiecutter-django-vue-graphql-aws,268,"A highly opinionated Cookiecutter template that fuses together Django, Vue.js, GraphQL, and AWS into one full-stack web application.",2020-04-12T03:09:47Z,469,Python,2023-10-14T13:36:48Z,46,6,1.0,268,2,2,0,4,95,94,100,100,107,92,98,97,46,10
general-mobile/kotlin-android-mvp-starter,265,Create/Generate your kotlin MVP projects easily,2017-05-22T10:18:10Z,230,Kotlin,2023-06-21T12:04:59Z,35,2,1.0,265,2,2,0,2,83,82,88,88,95,80,86,85,35,23
pytest-dev/cookiecutter-pytest-plugin,264,A Cookiecutter template for pytest plugins 💻,2015-07-25T09:33:02Z,202,Python,2023-10-15T10:45:35Z,55,14,1.0,264,2,2,0,23,79,78,84,84,91,76,82,81,55,13
jupyter-widgets/widget-cookiecutter,255,A cookiecutter template for creating a custom Jupyter widget project.,2016-05-05T15:58:21Z,94,JavaScript,2023-10-23T11:14:35Z,72,14,1.0,255,2,2,0,28,77,76,82,82,89,74,80,79,72,19
aio-libs/aiohttp-devtools,246,dev tools for aiohttp,2016-09-22T12:03:09Z,669,Python,2023-10-21T04:12:06Z,45,5,1.0,246,2,2,36,23,67,66,72,72,79,64,70,69,45,12
fpgmaas/cookiecutter-poetry,234,A modern cookiecutter template for Python projects that use Poetry for dependency management,2022-04-08T07:27:49Z,748,Python,2023-10-23T09:40:34Z,34,7,1.0,234,2,2,45,5,69,68,74,74,81,66,72,71,35,2
Lolomgrofl/fastapi-genesis,222,FastAPI project Template generator  to make your life easier 🧬 🚀,2023-07-12T12:43:47Z,88,Python,2023-10-23T11:43:14Z,12,1,1.0,222,2,2,3,4,68,67,73,73,80,65,71,70,12,6
woltapp/wolt-python-package-cookiecutter,221,Cookiecutter for rapidly creating modern & high-quality Python packages,2021-06-18T08:25:27Z,2030,Python,2023-10-22T19:16:06Z,41,13,1.0,221,2,2,0,5,82,81,87,87,94,79,85,84,41,8
aws-samples/cookiecutter-aws-sam-python,218,A Cookiecutter template to create a Serverless App based on Serverless Application Model (SAM) and Python 3.8,2018-01-15T18:21:12Z,116,Python,2023-10-21T18:34:48Z,80,5,1.0,218,2,2,0,11,81,80,86,86,93,78,84,83,80,16
Frojd/Wagtail-Pipit,203,Pipit is a Wagtail CMS boilerplate which aims to provide an easy and modern developer workflow with a React-rendered frontend.,2015-02-20T10:36:26Z,10460,Python,2023-10-21T22:04:08Z,26,29,1.0,203,2,2,64,7,61,60,66,66,73,58,64,63,27,14
kragniz/cookiecutter-pypackage-minimal,200,A minimal template for python packages,2014-03-06T11:50:40Z,21,Python,2023-06-16T10:32:22Z,106,5,1.0,200,2,2,0,8,80,79,85,85,92,77,83,82,106,11
jgoerner/data-science-stack-cookiecutter,196,"🐳📊🤓Cookiecutter template to launch an awesome dockerized Data Science toolstack (incl. Jupyster, Superset, Postgres, Minio, AirFlow & API Star) ",2018-06-23T09:28:50Z,814,Jupyter Notebook,2023-08-25T00:58:23Z,68,8,1.0,196,2,2,0,1,82,81,87,87,94,79,85,84,68,6
nvie/cookiecutter-python-cli,185,,2014-09-04T19:02:48Z,14,Python,2023-09-27T18:11:39Z,53,2,1.0,185,2,2,0,6,70,69,75,75,82,67,73,72,53,14
Fueled/django-init,183,Project template used at Fueled for scaffolding new Django based projects. :dizzy:,2014-03-03T15:19:26Z,2055,Python,2023-10-14T13:37:02Z,49,20,1.0,183,2,2,5,28,60,59,65,65,72,57,63,62,49,28
jupyterlab/extension-cookiecutter-ts,176,A cookiecutter recipe for JupyterLab extensions in Typescript,2016-09-27T02:45:42Z,349,CSS,2023-10-23T11:17:09Z,91,10,1.0,176,2,2,9,35,78,77,83,83,90,75,81,80,91,20
BrianPugh/python-template,174,"Python project and library template for clean, reliable, open-source projects.",2022-05-12T15:52:36Z,492,Python,2023-10-23T23:08:49Z,8,0,1.0,174,2,2,0,3,67,66,72,72,79,64,70,69,8,3
mkrapp/cookiecutter-reproducible-science,168,boilerplate for reproducible and transparent science,2016-07-23T00:42:40Z,5,,2023-10-20T04:21:44Z,70,0,1.0,168,2,2,0,1,82,81,87,87,94,79,85,84,70,4
mozilla/sugardough,165,A web application template based on Django.,2014-10-27T13:12:35Z,240,Python,2023-06-19T19:08:38Z,31,8,1.0,165,2,2,0,12,60,59,65,65,72,57,63,62,31,12
chrisdev/wagtail-cookiecutter-foundation,164,A Cookiecutter template for Wagtail CMS using Zurb Foundation 6,2015-04-13T13:36:50Z,23328,Python,2023-08-08T23:50:32Z,42,30,1.0,164,2,2,4,12,82,81,87,87,94,79,85,84,42,7
hackebrot/pytest-cookies,160,The pytest plugin for your Cookiecutter templates. 🍪,2015-10-08T23:00:08Z,162,Python,2023-09-23T17:12:01Z,28,7,1.0,160,2,2,9,12,66,65,71,71,78,63,69,68,28,8
beeware/Python-Android-template,160,A cookiecutter template for creating an Android project running Python code.,2014-08-24T07:48:09Z,464,,2023-09-13T22:05:41Z,37,0,1.0,160,2,2,0,2,73,72,78,78,85,70,76,75,37,27
crmne/cookiecutter-modern-datascience,158,Start a data science project with modern tools,2020-07-06T12:46:30Z,102,Python,2023-10-09T05:07:21Z,34,5,1.0,158,2,2,0,2,79,78,84,84,91,76,82,81,33,4
scientific-python/cookie,155,Scientific Python Library Development Guide and Cookiecutter,2021-01-03T18:46:50Z,902,Python,2023-10-17T18:52:57Z,31,6,1.0,155,2,2,10,22,66,65,71,71,78,63,69,68,33,8
NLeSC/python-template,150,Netherlands eScience Center Python Template,2016-09-20T11:18:42Z,665,Python,2023-10-10T07:18:29Z,77,47,1.0,150,2,2,4,17,63,62,68,68,75,60,66,65,77,44
cookiejar/cookietemple,147,A collection of best practice cookiecutter templates for all domains and languages with extensive Github support ⛺,2019-08-14T20:26:27Z,23621,Python,2023-09-18T16:33:51Z,8,34,1.0,147,2,2,21,10,64,63,69,69,76,61,67,66,8,6
radix-ai/poetry-cookiecutter,142,🐍 A modern Cookiecutter template for scaffolding Python packages and apps.,2022-01-05T16:20:19Z,209,Dockerfile,2023-10-23T21:04:10Z,18,16,1.0,142,2,2,0,5,70,69,75,75,82,67,73,72,19,11
ionelmc/python-nameless,142,Sample project. Use https://github.com/ionelmc/cookiecutter-pylibrary to make your own project. The purpose of this repo is to test the CI configuration.,2014-05-30T17:40:09Z,344,Python,2023-10-09T22:05:05Z,32,0,1.0,142,2,2,5,1,65,64,70,70,77,62,68,67,32,5
rochacbruno/flask-project-template,137,"DO NOT FORK, CLICK ""Use this template"" - A github template to start a Flask Project - this uses github actions to generate your project based on the template.",2021-08-16T23:59:08Z,66,Python,2023-10-23T16:44:38Z,22,3,1.0,137,2,2,0,3,76,75,81,81,88,73,79,78,23,3
vmchale/project-init,136,Project templates in rust,2017-04-30T03:17:53Z,79802,Rust,2023-09-28T10:41:04Z,13,10,1.0,136,2,2,142,2,62,61,67,67,74,59,65,64,13,4
hackebrot/poyo,135,A lightweight YAML Parser for Python. 🐓,2015-12-27T15:18:14Z,105,Python,2023-08-14T09:31:11Z,24,8,1.0,135,2,2,7,7,56,55,61,61,68,53,59,58,25,11
simonw/click-app,129,Cookiecutter template for creating new Click command-line tools,2020-06-22T23:01:33Z,37,Python,2023-10-22T11:32:06Z,11,0,1.0,129,2,2,0,2,58,57,63,63,70,55,61,60,12,7
best-practice-and-impact/govcookiecutter,125,A cookiecutter template for data science projects within His Majesty's Government and wider public sector.,2020-02-26T12:05:49Z,1267,Python,2023-10-17T13:56:56Z,30,23,1.0,125,2,2,25,9,82,81,87,87,94,79,85,84,30,6
ohduran/cookiecutter-react-django,124,"From hello world to Heroku deployment, using separated Front and Back Ends",2020-01-11T08:15:34Z,2722,JavaScript,2023-10-20T08:04:34Z,20,46,1.0,124,2,2,0,6,75,74,80,80,87,72,78,77,20,3
executablebooks/cookiecutter-jupyter-book,123,Cookiecutter template for a simple jupyter book,2020-07-03T21:27:47Z,8083,TeX,2023-10-15T17:38:45Z,43,5,1.0,123,2,2,8,7,83,82,88,88,95,80,86,85,43,11
jwkvam/minimal-flask-react,123,:cocktail: A minimal modern setup for flask and react,2018-04-15T07:26:42Z,8280,JavaScript,2023-09-05T11:52:24Z,29,2,1.0,123,2,2,0,4,68,67,73,73,80,65,71,70,29,6
thorgate/django-project-template,121,"Thorgate's Django project template - Django, React, Sass, optional Docker and more",2016-03-28T15:10:57Z,2375,JavaScript,2023-10-21T18:40:49Z,15,11,1.0,121,2,2,12,19,74,73,79,79,86,71,77,76,15,15
awesto/cookiecutter-django-shop,115,Cookiecutter django-SHOP is a blueprint for an e-commerce site based on django-CMS.,2018-08-08T13:11:36Z,7036,Python,2023-10-23T12:47:40Z,56,23,1.0,115,2,2,18,200,73,72,78,78,85,70,76,75,56,9
mdklatt/cookiecutter-python-app,114,Cookiecutter template for a Python application project.,2015-08-16T21:12:20Z,176,Python,2023-10-01T12:30:53Z,31,0,1.0,114,2,2,0,4,73,72,78,78,85,70,76,75,31,6
NSLS-II/scientific-python-cookiecutter,111,a tutorial and 'cookiecutter' template for a scientific Python library,2018-06-28T19:28:19Z,308,Python,2023-10-11T19:59:07Z,41,22,1.0,111,2,2,2,17,80,79,85,85,92,77,83,82,41,14
fedejaure/cookiecutter-modern-pypackage,111,Cookiecutter template for a modern Python package.,2020-05-16T13:21:52Z,1013,Python,2023-10-01T12:31:06Z,18,22,1.0,111,2,2,23,3,81,80,86,86,93,78,84,83,18,2
jupyter-widgets/widget-ts-cookiecutter,109,A highly opinionated cookiecutter template for ipywidget extensions.,2017-08-15T15:09:36Z,240,Python,2023-07-01T13:06:51Z,54,30,1.0,109,2,2,0,19,80,79,85,85,92,77,83,82,54,12
aws-samples/cookiecutter-aws-sam-pipeline,108,This project is a a cookiecutter template to create a generic CI/CD pipeline for Serverless App based on Serverless Application Model (SAM). ,2018-04-10T01:20:55Z,655,Python,2023-09-27T16:36:57Z,48,9,1.0,108,2,2,0,3,83,82,88,88,95,80,86,85,48,19
wildfish/wildfish-django-starter,105,Django cookiecutter starter project template.,2013-03-04T14:20:43Z,191,Python,2023-06-10T22:18:40Z,15,3,1.0,105,2,2,0,7,74,73,79,79,86,71,77,76,15,16
simonw/python-lib,105,Opinionated cookiecutter template for creating a new Python library,2020-09-06T15:04:44Z,50,Python,2023-10-07T04:22:11Z,7,0,1.0,105,2,2,0,2,59,58,64,64,71,56,62,61,9,5
solrac97gr/go-hexagonal-blog,105,"Boilerplate using Fiber 🚀 , Mongo, Hexagonal Architecture. Including a Blog explaining the components of the boilerplate.",2021-11-15T07:15:56Z,7,Go,2023-10-10T13:37:18Z,20,0,1.0,105,2,2,0,1,70,69,75,75,82,67,73,72,20,2
zillionare/python-project-wizard,104,"A tool for creating skeleton python project, built with popular develop tools and conform to best practice.",2021-04-10T14:46:32Z,1080,Python,2023-10-13T12:27:39Z,89,3,1.0,104,2,2,17,77,74,73,79,79,86,71,77,76,88,3
marcofucci/cookiecutter-simple-django,103,A cookiecutter template for creating reusable Django projects quickly.,2013-09-29T09:12:58Z,147,Python,2023-04-06T21:25:18Z,54,6,1.0,103,2,2,0,11,79,78,84,84,91,76,82,81,54,5
alexkey/cookiecutter-lux-python,100,Cookiecutter template for an idiomatic Python project driven by Makefile,2016-11-10T09:18:33Z,121,Makefile,2022-07-31T13:51:09Z,7,0,1.0,100,2,2,5,2,73,72,78,78,85,70,76,75,7,3
conda/cookiecutter-conda-python,98,A cookiecutter template for conda packages using Python,2017-05-17T18:19:18Z,90,Python,2023-09-23T01:43:05Z,43,0,1.0,98,2,2,0,10,73,72,78,78,85,70,76,75,43,16
JackStouffer/cookiecutter-Flask-Foundation,95,Cookiecutter fork of Flask Foundation,2015-03-19T21:59:49Z,302,Python,2023-05-06T21:36:03Z,21,0,1.0,95,2,2,3,7,84,83,89,89,96,81,87,86,21,7
Rightpoint/ios-template,94,A `cookiecutter` template for iOS projects,2016-11-02T14:50:53Z,271990,Swift,2023-08-29T02:54:37Z,28,44,1.0,94,2,2,0,9,65,64,70,70,77,62,68,67,28,12
goldhand/cookiecutter-webpack,93,"Boilerplate for webpack 2, babel, react + redux + hmr, and karma. Can be inserted into existing django projects.",2016-03-22T16:33:43Z,75,JavaScript,2023-04-05T07:04:21Z,16,8,1.0,93,2,2,2,3,71,70,76,76,83,68,74,73,16,10
feldroy/django-crash-starter,93,The Cookiecutter template for the Django Crash Course tutorial by Daniel and Audrey Feldroy.,2020-01-29T02:20:50Z,4940,Python,2023-07-02T23:24:53Z,39,31,1.0,93,2,2,1,243,70,69,75,75,82,67,73,72,39,4
ernestofgonzalez/djangorocket,93,A Django SaaS boilerplate,2023-01-04T16:41:58Z,282,Python,2023-10-16T21:00:50Z,8,2,1.0,93,2,2,7,1,71,70,76,76,83,68,74,73,8,3
Pylons/pyramid-cookiecutter-starter,91,"A Cookiecutter (project template) for creating a Pyramid starter project with choices for template language (Jinja2, Chameleon, or Mako), persistent backend (none, SQLAlchemy with SQLite, or ZODB), and mapping of URLs to routes (URL dispatch or traversal)",2016-06-02T19:07:22Z,199,Python,2023-08-08T08:47:05Z,48,5,1.0,91,2,2,0,19,77,76,82,82,89,74,80,79,48,15
jpadilla/cookiecutter-django-rest-framework,90,A cookiecutter template for creating reusable Django REST Framework packages quickly.,2014-11-17T12:07:11Z,279,Python,2023-08-03T13:12:02Z,17,1,1.0,90,2,2,0,2,85,84,90,90,97,82,88,87,17,6
iknite/cookiecutter-ansible-role,87,Cookie cutter recipe to easily create ansible roles.,2014-06-12T08:48:32Z,12,Python,2023-08-18T11:03:21Z,31,3,1.0,87,2,2,0,5,74,73,79,79,86,71,77,76,31,7
artemnovichkov/swift-project-template,87,🍪 Easily generate Swift projects with Cookiecutter,2017-02-10T05:22:42Z,603,Swift,2023-05-31T10:43:28Z,17,1,1.0,87,2,2,0,5,79,78,84,84,91,76,82,81,17,5
wdm0006/cookiecutter-pipproject,80,A(nother) cookiecutter template for pip-installable python projects,2015-10-27T01:46:06Z,20,Python,2023-08-08T19:07:39Z,35,3,1.0,80,2,2,0,5,73,72,78,78,85,70,76,75,35,7
better-go/go-template,79,"boilerplate, golang project starter tool, support go-zero/go-micro/gin",2020-06-01T14:52:24Z,231,Go,2023-10-18T11:15:32Z,7,3,1.0,79,2,2,4,4,63,62,68,68,75,60,66,65,7,5
orctom/gradle-archetype-plugin,78,Gradle plugin that creates projects from your own cookiecutter,2016-03-01T12:57:36Z,171,Java,2023-07-25T14:00:36Z,47,14,1.0,78,2,2,21,6,72,71,77,77,84,69,75,74,47,7
